source_id,priority_tier,name,direct_url,organization_or_author,source_category,genre,major_topics,register,estimated_cefr,german_variety,modality,format,approximate_usable_material,access_class,transcript_or_download_availability,rights_and_access_notes,linguistic_coverage_added,main_risk_or_limitation,recommended_acquisition_scope,command_or_download_hint,verified_on
lcc_news_de_1m,1,Leipzig Corpora Collection – German News,https://wortschatz.uni-leipzig.de/en/download/German,"Leipzig University, Wortschatz",general corpus,news corpus,politics; business; local and international news; sports; culture,edited neutral journalistic,B1–C1,DE-dominant Standard German,written,sentence text + token/frequency files in compressed archives,Selectable 10K–1M sentence packages per release,bulk_open,Direct archive links from the German download page,Research corpus; retain source metadata and review the licence/readme bundled with each archive,"Dense contemporary syntax, named entities, reporting verbs, temporal framing, indirect attribution","Automatically collected; duplicates, boilerplate and occasional bad segmentation",Download one recent 1M News package; cap older releases at 250K each,python tools/acquire.py fetch lcc_news_de_1m,2026-08-05
lcc_web_de_1m,1,Leipzig Corpora Collection – German Web,https://wortschatz.uni-leipzig.de/en/download/German,"Leipzig University, Wortschatz",general corpus,mixed web prose,consumer information; organizations; hobbies; services; technology; practical prose,mixed neutral/informal/formal,A2–C1,DE-dominant Standard German,written,sentence text + metadata/frequency files,Selectable up to 1M sentences per package,bulk_open,Direct archive links from the German download page,Review archive licence/readme; use internally as reference corpus,Broad lexical and constructional variety beyond news,"Web noise, SEO, fragments, duplicated templates",Download one recent 1M Web package; aggressively filter boilerplate and low-quality domains,python tools/acquire.py fetch lcc_web_de_1m,2026-08-05
lcc_wikipedia_de_1m,1,Leipzig Corpora Collection – German Wikipedia,https://wortschatz.uni-leipzig.de/en/download/German,"Leipzig University, Wortschatz",general corpus,encyclopedic prose,science; history; geography; culture; people; institutions,neutral expository,B1–C1,Standard German,written,sentence text + metadata/frequency files,Selectable up to 1M sentences,bulk_open,Direct archive links from the German download page,Derived from Wikimedia; preserve attribution/licence metadata,"Definitions, apposition, taxonomic language, cause/effect, descriptions",Topic skew and encyclopedic style; fewer interactions,Download 1M package for easy processing even if full dewiki is also acquired,python tools/acquire.py fetch lcc_wikipedia_de_1m,2026-08-05
dewiki_dump,1,German Wikipedia full dump,https://dumps.wikimedia.org/dewiki/latest/,Wikimedia Foundation / German Wikipedia contributors,encyclopedic corpus,encyclopedia articles,science; society; culture; geography; biographies; technical topics,neutral formal expository,B1–C1,Standard German with some DACH coverage,written,MediaWiki XML bz2; optional multistream index,Multi-million-sentence corpus; exact count depends on current dump and extraction,bulk_open,Direct current dump files,CC BY-SA/GFDL; preserve attribution and dump metadata,"Long-form context, terminology, definitions, relative clauses, nominal style","Markup, lists, citations, formulae, uneven article quality",Acquire pages-articles multistream dump; sample by topic and article quality rather than ingesting all sentences equally,python tools/acquire.py fetch dewiki_dump,2026-08-05
dewikivoyage_dump,1,German Wikivoyage dump,https://dumps.wikimedia.org/dewikivoyage/latest/,Wikimedia Foundation / Wikivoyage contributors,practical travel corpus,travel guide,transport; accommodation; restaurants; directions; tourism; safety; local customs,"neutral practical, occasional informal advice",A2–B2,Standard German; DACH and worldwide destinations,written,MediaWiki XML bz2,Tens of thousands of destination/guide sections,bulk_open,Direct current dump files,CC BY-SA; preserve attribution,"Imperatives, recommendations, directional language, prices, opening hours, travel problems",Template/list-heavy; stale details; proper-name density,"Acquire full pages-articles dump, then retain prose paragraphs and practical notices",python tools/acquire.py fetch dewikivoyage_dump,2026-08-05
dewikibooks_dump,2,German Wikibooks dump,https://dumps.wikimedia.org/dewikibooks/latest/,Wikimedia Foundation / Wikibooks contributors,educational corpus,open textbooks and manuals,languages; computing; science; crafts; study skills,instructional to academic,A2–C1,Standard German,written,MediaWiki XML bz2,Large collection of book chapters; post-filter size varies,bulk_open,Direct current dump files,CC BY-SA/GFDL; preserve attribution,"Explanations, procedures, examples, definitions, didactic sequencing",Quality and completion vary; markup and exercises,Acquire full dump; select mature books and prose-rich chapters,python tools/acquire.py fetch dewikibooks_dump,2026-08-05
dewikinews_dump,3,German Wikinews dump,https://dumps.wikimedia.org/dewikinews/latest/,Wikimedia Foundation / German Wikinews contributors,news archive,citizen-edited news,politics; local affairs; international events; culture; sports,neutral journalistic,B1–C1,Standard German,written,MediaWiki XML bz2,About fourteen thousand articles in the project archive,bulk_open,Direct dump files,CC BY; preserve attribution,"Short news reports, chronology and event narration",Small and less current than major news corpora; variable editing,"Acquire once as a bounded historical supplement, not a primary current-news source",python tools/acquire.py fetch dewikinews_dump,2026-08-05
bundestag_open_data,1,German Bundestag Open Data – plenary protocols,https://www.bundestag.de/services/opendata,German Bundestag,official/political corpus,parliamentary debate and documents,laws; budgets; policy; government; society; foreign affairs,"formal spoken-to-written, argumentative",B2–C1,Germany Standard German,spoken transcript + written documents,XML and JSON; term-organized downloads,All plenary protocols and printed papers from the first legislative term onward,bulk_open,Official machine-readable downloads,"Official open-data terms; retain document IDs, date, speaker and term","Argumentation, rebuttal, reported positions, Konjunktiv, formal address, interjections, long syntax",Political/topic skew; formulaic procedure; historical language in older terms,Download 19th–21st terms first; preserve speaker turns and stage directions,python tools/acquire.py fetch bundestag_open_data,2026-08-05
germaparl,3,GermaParl v2.3,https://zenodo.org/records/15495748,Political Data Science / corpus maintainers,annotated political corpus,Bundestag plenary protocols,policy; legislation; parliamentary discourse,formal spoken-to-written,B2–C1,Germany Standard German,annotated transcript,XML and CWB archives,About 2.6 GB for the CWB archive in the current release,restricted_request,Zenodo access request; downloadable after approval,Access-controlled; follow record conditions and do not redistribute if prohibited,"Linguistic annotation, speaker metadata, parliamentary discourse analysis",Approval friction; overlaps raw Bundestag data,Request after raw Bundestag acquisition if annotations will materially improve retrieval,manual: request access on Zenodo,2026-08-05
gesetze_im_internet,1,Gesetze im Internet,https://www.gesetze-im-internet.de/,Federal Ministry of Justice / Federal Office of Justice,legal/official corpus,federal statutes and regulations,civil; criminal; employment; tax; administration; transport; health,highly formal legal,C1,Germany legal Standard German,written,"HTML, PDF, EPUB and XML; complete-law ZIPs",Hundreds of current federal laws and regulations,bulk_open,Per-law downloads and XML ZIP files,Official legal texts; preserve version/date; public availability does not automatically settle every downstream reuse question,"Case government, legal modality, definitions, conditions, exceptions, nominalizations",Very specialized and syntactically dense; not representative everyday prose,"Acquire a balanced set of 50–100 high-impact laws plus XML metadata, not the entire legal universe initially",python tools/acquire.py fetch gesetze_im_internet,2026-08-05
